SampleID,SampleRowID,StationCode,SampleDate,SampleTime,MethodCode,GearID,GearConditionCode,SampleAltered,WeatherCode,VegetationRank,MicrocystisVisualRank,YSI Handheld #,WaterTemperature,Secchi,Too Clear For Secchi,Conductivity,SpCnd,DO,pH,Turbidity,Entered By,Checked By,UserName,AgencyCode,s_ColLineage,s_Generation,s_Lineage,DataCorrectionComments
13,{9071DDB7-FFA7-45A6-AA91-52DEA1D2DD6D},PCS,10/21/2009,10:16:00 AM,FKTR,FKTR,1,No,CLD,,,,16.70,0.24,FALSE,413,,5.90,7.98,,,,Admin,,,0,,
14,{D3387CE8-C42A-4B37-8AD3-8CB6DE995942},PCS,10/22/2009,10:26:00 AM,FKTR,FKTR,1,No,CLR,,,,17.10,0.24,FALSE,413,,6.34,8.00,,,,jamartin,,,0,,
15,{B0D22DA0-E489-47C2-B339-B2E9A0F81B3A},PCS,10/23/2009,10:43:00 AM,FKTR,FKTR,1,No,CLR,,,,17.50,0.22,FALSE,377,,6.71,7.98,,,,Admin,,,0,,
16,{426B0863-C6BC-4B26-B908-C6B9D7EAAB87},PCS,10/26/2009,10:00:00 AM,FKTR,FKTR,1,No,CLR,,,,17.30,0.22,FALSE,351,,7.04,7.85,,,,jamartin,,,0,,
17,{F0199777-2019-4EC9-8BAB-FB90B72EF952},PCS,10/27/2009,11:30:00 AM,FKTR,FKTR,1,No,CLD,,,,16.30,0.23,FALSE,343,,8.61,7.90,,,,jamartin,,,0,,
18,{8E5DDBD6-FF74-4E97-BC64-128156191E42},BL4,10/27/2009,10:45:00 AM,BSEIN,SEIN50,1,No,CLR,,,,16.90,0.13,FALSE,468,,6.13,7.68,,,,jamartin,,,0,,
19,{FC112CD3-18E8-40BD-9EC1-4007BE0F2A5A},YB,10/27/2009,9:40:00 AM,BSEIN,SEIN50,1,No,CLR,,,,13.90,0.05,FALSE,645,,8.74,8.17,,,,Admin,,,0,,
20,{25875CFB-814E-4D2C-90C8-42DADA946065},PCS,10/28/2009,10:45:00 AM,FKTR,FKTR,1,No,CLR,,,,13.70,0.17,FALSE,361,,9.73,8.14,,,,jamartin,,,0,,
21,{E641D67F-926A-4401-9C0B-D3BF2DEA83D5},PCS,10/29/2009,12:10:00 PM,FKTR,FKTR,1,No,CLR,,,,13.40,0.34,FALSE,462,,8.06,7.78,,,,jamartin,,,0,,
22,{952D031B-8F21-4A03-8400-B5FE0F1BDB35},PCS,10/30/2009,10:35:00 AM,FKTR,FKTR,1,No,CLR,,,,13.20,0.32,FALSE,322,,8.10,7.91,,,,Admin,,,0,,
23,{E7593332-1209-45AE-93BF-D6FAE6B9B95D},PCS,11/2/2009,10:20:00 AM,FKTR,FKTR,1,No,CLR,,,,14.80,0.24,FALSE,350,,7.28,7.83,,,,kpierce,,,0,,
24,{C8740003-1F88-4897-B86D-EC26B97CBFE1},PCS,11/3/2009,10:18:00 AM,FKTR,FKTR,1,No,CLR,,,,15.40,0.25,FALSE,358,,7.86,7.97,,,,jamartin,,,0,,
25,{84B35089-8414-4B9B-852F-558F69CBE899},PCS,11/4/2009,10:35:00 AM,FKTR,FKTR,1,No,CLR,,,,15.80,0.31,FALSE,385,,7.48,7.83,,,,jamartin,,,0,,
26,{C17F1827-17C8-4532-9368-B25DEA8AF415},PCS,11/5/2009,9:45:00 AM,FKTR,FKTR,1,No,CLR,,,,15.40,0.23,FALSE,460,,6.63,7.72,,,,kpierce,,,0,,
27,{6C6007F8-A632-4A2B-BB80-C14DF7B2E458},PCS,11/9/2009,8:37:00 AM,FKTR,FKTR,1,No,CLR,,,,13.80,0.28,FALSE,483,,6.46,8.08,,,,kpierce,,,0,,
28,{C34AB2EA-93E6-434F-B518-1A14F4461E7D},PCS,11/10/2009,8:45:00 AM,FKTR,FKTR,1,No,CLR,,,,13.70,0.25,FALSE,474,,6.36,8.14,,,,kpierce,,,0,,
29,{1FD20F71-E98F-46EB-B301-897C46149778},PCS,11/12/2009,11:33:00 AM,FKTR,FKTR,1,No,CLR,,,,14.30,0.29,FALSE,487,,7.32,7.78,,,,kpierce,,,0,,
30,{5F33220B-F698-466A-A71B-D113BEDBE080},PCS,11/16/2009,10:48:00 AM,FKTR,FKTR,1,No,CLR,,,,12.30,0.31,FALSE,467,,8.72,7.95,,,,kpierce,,,0,,
31,{F36801C5-6A4D-4DDE-841D-B45D8526A09A},YB,11/12/2009,8:18:00 AM,BSEIN,SEIN50,1,No,CLR,,,,12.70,0.2,FALSE,671,,4.96,7.79,,,,Admin,,,0,,
32,{12D22849-2C34-4A7C-85D0-EDA745EA66CB},BL4,11/12/2009,10:33:00 AM,BSEIN,SEIN50,2,No,CLR,,,,13.90,0.23,FALSE,523,,6.72,7.77,,,,Admin,,,0,,
33,{ACC0E8B4-1226-4769-9865-18595303DA03},LI,11/12/2009,12:01:00 PM,BSEIN,SEIN50,1,No,CLR,,,,13.80,0.22,FALSE,482,,7.41,7.72,,,,kpierce,,,0,,
34,{ECFBAFF0-920A-4BC6-8EBD-E9BBD674A00F},PCS,11/17/2009,9:38:00 AM,FKTR,FKTR,1,No,CLR,,,,11.70,0.31,FALSE,460,,8.46,7.94,,,,kpierce,,,0,,
35,{8681F7CC-07F8-4D22-BAC0-58C0561F3242},PCS,11/18/2009,9:38:00 AM,FKTR,FKTR,1,No,CLR,,,,11.90,0.3,FALSE,471,,8.67,7.95,,,,kpierce,,,0,,
36,{C097AF5D-0640-42D2-B952-5AC952C72350},PCS,11/19/2009,1:50:00 PM,FKTR,FKTR,1,No,CLR,,,,13.10,0.27,FALSE,494,,9.43,8.05,,,,kpierce,,,0,,
37,{E8FA2164-AA3D-4C14-881D-31CDB406CEA3},PCS,11/23/2009,8:41:00 AM,FKTR,FKTR,1,No,CLR,,,,9.30,0.39,FALSE,445,,8.10,7.99,,,,kpierce,,,0,,
38,{82E9699F-E589-4978-9FA1-8963F154F6D3},LI,11/24/2009,10:34:00 AM,BSEIN,SEIN50,1,No,CLR,,,,9.60,0.26,FALSE,468,,6.59,7.78,,,,kpierce,,,0,,
39,{57D611E4-F24A-438F-B81B-7BEB43AE4EE9},BL4,11/24/2009,11:11:00 AM,BSEIN,SEIN50,1,No,CLR,,,,10.30,0.26,FALSE,511,,7.73,7.81,,,,kpierce,,,0,,
40,{92D4D986-0F1B-4AEF-9E1F-513C938D8EB6},YB,11/24/2009,12:51:00 PM,BSEIN,SEIN50,1,No,CLR,,,,10.50,0.29,FALSE,610,,6.99,7.69,,,,kpierce,,,0,,
41,{DFEFEC2C-DA23-45D8-B63A-6D6D298B70C5},PCS,11/24/2009,11:25:00 AM,FKTR,FKTR,1,No,CLR,,,,10.40,0.3,FALSE,483,,7.67,7.77,,,,kpierce,,,0,,
42,{EE5D59FB-1273-41DB-BABB-45AB97768060},PCS,11/25/2009,10:17:00 AM,FKTR,FKTR,1,No,CLR,,,,10.00,0.3,FALSE,460,,6.77,7.92,,,,kpierce,,,0,,
43,{EADD7626-CBC5-495B-AAC5-FB97E6563B5A},AL1,2/2/1998,2:00:00 PM,BSEIN,SEIN50,2,No,RAN,,,,11.11,,FALSE,,,,,,,,kpierce,,,0,,
44,{C0BF2E20-F456-479A-B551-85AE690C7476},AL1,2/2/1998,2:10:00 PM,BSEIN,SEIN50,1,No,RAN,,,,11.11,,FALSE,,,,,,,,kpierce,,,0,,
45,{C58B008A-AF0B-40D3-9E15-248617419ACF},AL1,2/4/1998,3:30:00 PM,BSEIN,SEIN50,1,No,CLD,,,,11.67,,FALSE,,,,,,,,kpierce,,,0,,
46,{871FFBF1-FF83-4A7D-91C3-35FD81438865},AL1,2/25/1998,1:26:00 PM,BSEIN,SEIN50,1,No,RAN,,,,10.56,,FALSE,,,,,,,,kpierce,,,0,,
47,{477E158F-A922-4C3A-9D27-B7F7FBFDE6AD},AL1,3/2/1998,11:25:00 AM,BSEIN,SEIN50,2,No,CLR,,,,15.56,,FALSE,,,,,,,,kpierce,,,0,,
48,{06C11449-11D5-4889-A0B6-AAF3F6DF89DC},AL1,3/3/1998,1:50:00 PM,BSEIN,SEIN50,1,No,CLR,,,,12.22,,FALSE,,,,,,,,kpierce,,,0,,
49,{3EF83EA1-7FF3-4621-BD0F-82EC87362953},AL1,3/9/1998,9:25:00 AM,BSEIN,SEIN50,1,No,CLR,,,,10.00,,FALSE,,,,,,,,kpierce,,,0,,
50,{8C6627D7-3924-46E6-BB1C-3D5647F6EF9E},AL1,3/19/1998,10:15:00 AM,BSEIN,SEINENCL,1,No,CLR,,,,17.22,,FALSE,,,,,,,,kpierce,,,0,,
51,{7B82B6B7-1B9D-4A94-879C-1D1E8C457A2B},AL1,3/19/1998,10:25:00 AM,BSEIN,SEIN50,1,No,CLR,,,,17.22,,FALSE,,,,,,,,kpierce,,,0,,
52,{B7ACB8E6-B39C-4080-8529-02BB4D0134E7},AL1,3/19/1998,11:15:00 AM,BSEIN,SEINENCL,2,No,CLR,,,,15.56,,FALSE,,,,,,,,kpierce,,,0,,
53,{F9AD911A-ED7D-48A6-B2F4-92340578C42A},AL1,3/19/1998,11:20:00 AM,BSEIN,SEINENCL,2,No,CLR,,,,15.56,,FALSE,,,,,,,,kpierce,,,0,,
54,{791C7F72-D21C-4B2C-B0BF-C87B41102FDE},AL1,3/19/1998,11:30:00 AM,BSEIN,SEINENCL,2,No,CLR,,,,15.56,,FALSE,,,,,,,,kpierce,,,0,,
55,{2C23DD9F-EB37-43C0-A8DF-1FA61A8CA63B},AL1,3/19/1998,11:40:00 AM,BSEIN,SEIN50,1,No,CLR,,,,18.33,,FALSE,,,,,,,,kpierce,,,0,,
56,{94CED877-4C81-49D2-8FBD-BFB7AC7B2C04},AL1,3/19/1998,12:55:00 PM,BSEIN,SEINENCL,1,No,CLR,,,,17.78,,FALSE,,,,,,,,kpierce,,,0,,
57,{FB90DCB0-FB88-4294-AAEB-8CAA51BB33D1},AL1,3/19/1998,1:05:00 PM,BSEIN,SEINENCL,1,No,CLR,,,,17.78,,FALSE,,,,,,,,kpierce,,,0,,
58,{2517EEED-97F2-4AD5-B473-1AF49E5D164E},AL1,3/19/1998,1:16:00 PM,BSEIN,SEIN50,1,No,CLR,,,,17.78,,FALSE,,,,,,,,kpierce,,,0,,
59,{7512D3CF-9DF4-4C37-B9DC-4ED65A8E7716},AL1,3/19/1998,1:30:00 PM,BSEIN,SEIN50,1,No,CLR,,,,17.78,,FALSE,,,,,,,,kpierce,,,0,,
60,{5FE61063-3257-4DD9-93CA-CB75FE0CBB08},AL1,3/24/1998,11:15:00 AM,BSEIN,SEIN50,1,No,CLR,,,,17.22,,FALSE,,,,,,,,kpierce,,,0,,
61,{FF3CB555-77BA-40C3-BB25-68C19B713347},AL1,3/24/1998,11:25:00 AM,BSEIN,SEIN50,1,No,CLR,,,,17.22,,FALSE,,,,,,,,kpierce,,,0,,
62,{A889EC3A-4D32-47B5-A6CB-764A10D689FE},AL1,3/31/1998,1:15:00 PM,BSEIN,SEIN50,1,No,RAN,,,,11.11,,FALSE,,,,,,,,kpierce,,,0,,
63,{1EC1D56D-75D8-4129-88AB-8BD27B7EEA8E},AL1,4/6/1998,3:10:00 PM,BSEIN,SEIN50,1,No,CLR,,,,12.22,,FALSE,,,,,,,,kpierce,,,0,,
64,{72C00171-D912-469F-973E-10F66270A2FE},AL1,4/15/1998,11:50:00 AM,BSEIN,SEINENCL,2,No,CLR,,,,15.00,,FALSE,,,,,,,,kpierce,,,0,,
65,{D8DE29C3-5D2B-49DC-B8D5-A0510646BDFC},AL1,4/15/1998,11:55:00 AM,BSEIN,SEINENCL,2,No,CLR,,,,15.00,,FALSE,,,,,,,,kpierce,,,0,,
66,{687267DE-BCA8-413B-AF07-25276EA634BA},AL1,4/15/1998,12:00:00 PM,BSEIN,SEINENCL,2,No,CLR,,,,15.00,,FALSE,,,,,,,,kpierce,,,0,,
67,{5B3A8147-BF35-4413-A0F5-4AD007E3E65E},AL1,4/15/1998,12:15:00 PM,BSEIN,SEIN50,1,No,CLR,,,,15.00,,FALSE,,,,,,,,kpierce,,,0,,
68,{594E3802-0BD8-11D4-BCF6-006008038FF4},AL1,2/11/1999,2:10:00 PM,BSEIN,SEIN50,,No,CLR,,,,10.00,,FALSE,,,,,,WB,RK,kpierce,DWRESOYO,,0,,
69,{594E3803-0BD8-11D4-BCF6-006008038FF4},AL1,2/22/1999,1:52:00 PM,BSEIN,SEIN50,,No,CLR,,,,9.44,,FALSE,,,,,,,,kpierce,DWRESOYO,,0,,
70,{594E3804-0BD8-11D4-BCF6-006008038FF4},AL1,2/24/1999,2:52:00 PM,BSEIN,SEIN50,,No,,,,,10.00,,FALSE,,,,,,WB,RK,kpierce,DWRESOYO,,0,,
71,{594E3805-0BD8-11D4-BCF6-006008038FF4},AL1,3/1/1999,9:58:00 AM,BSEIN,SEIN50,,No,CLR,,,,,0.41,FALSE,,,,,,WB,RK,kpierce,dwresoyo,,0,,
72,{594E3806-0BD8-11D4-BCF6-006008038FF4},AL1,3/3/1999,10:54:00 AM,BSEIN,SEIN50,,No,CLR,,,,10.56,0.22,FALSE,,,,,,WB,RK,kpierce,dwresoyo,,0,,
73,{594E3807-0BD8-11D4-BCF6-006008038FF4},AL1,3/8/1999,12:49:00 PM,BSEIN,SEIN50,,No,RAN,,,,8.89,0.38,FALSE,,,,,,WB,RK,kpierce,dwresoyo,,0,,
74,{594E3808-0BD8-11D4-BCF6-006008038FF4},AL1,3/10/1999,10:10:00 AM,BSEIN,SEIN50,,No,CLD,,,,8.89,0.44,FALSE,,,,,,WB,RK,kpierce,dwresoyo,,0,,
75,{594E3809-0BD8-11D4-BCF6-006008038FF4},AL1,4/9/1999,1:08:00 PM,BSEIN,SEIN50,,No,CLR,,,,15.00,,FALSE,,,,,,WB,RK,kpierce,dwresoyo,,0,,
76,{594E380A-0BD8-11D4-BCF6-006008038FF4},AL1,4/9/1999,1:33:00 PM,BSEIN,SEIN50,,No,CLR,,,,16.11,,FALSE,,,,,,WB,RK,kpierce,dwresoyo,,0,,
77,{594E380B-0BD8-11D4-BCF6-006008038FF4},AL1,4/9/1999,2:25:00 PM,BSEIN,SEIN50,,No,CLR,,,,16.67,,FALSE,,,,,,WB,RK,kpierce,dwresoyo,,0,,
78,{594E37B4-0BD8-11D4-BCF6-006008038FF4},AL1,2/15/2000,11:45:00 AM,BSEIN,SEIN50,1,No,CLR,,,,10.83,0.14,FALSE,,,,,,WB,WB,kpierce,dwresoyo,,0,,
79,{594E37D1-0BD8-11D4-BCF6-006008038FF4},AL1,2/22/2000,10:30:00 AM,BSEIN,SEIN50,1,No,RAN,,,,,,FALSE,,,,,,WB,WB,kpierce,dwresoyo,,0,,
80,{594E37DA-0BD8-11D4-BCF6-006008038FF4},AL1,3/1/2000,1:27:00 PM,BSEIN,SEIN50,1,No,CLR,,,,12.22,,FALSE,,,,,,WB,WB,kpierce,dwresoyo,,0,,
81,{594E37E1-0BD8-11D4-BCF6-006008038FF4},AL1,3/7/2000,1:45:00 PM,BSEIN,SEIN50,1,No,CLD,,,,10.83,,FALSE,,,,,,WB,WB,kpierce,dwresoyo,,0,,
82,{594E37EC-0BD8-11D4-BCF6-006008038FF4},AL1,3/15/2000,10:55:00 AM,BSEIN,SEIN50,1,No,CLR,,,,12.78,,FALSE,,,,,,WB,WB,kpierce,dwresoyo,,0,,
83,{594E37ED-0BD8-11D4-BCF6-006008038FF4},AL1,3/15/2000,11:00:00 AM,BSEIN,SEIN50,1,No,CLR,,,,12.78,,FALSE,,,,,,,,kpierce,dwresoyo,,0,,
84,{594E37FC-0BD8-11D4-BCF6-006008038FF4},AL1,3/24/2000,3:00:00 PM,BSEIN,SEIN50,2,No,CLR,,,,,,FALSE,,,,,,WB,WB,kpierce,dwresoyo,,0,,
85,{594E37FD-0BD8-11D4-BCF6-006008038FF4},AL1,3/24/2000,3:15:00 PM,BSEIN,SEIN50,1,No,CLR,,,,,,FALSE,,,,,,WB,WB,kpierce,dwresoyo,,0,,
86,{594E37FE-0BD8-11D4-BCF6-006008038FF4},AL1,3/24/2000,3:35:00 PM,BSEIN,SEIN50,1,No,CLR,,,,,,FALSE,,,,,,WB,WB,kpierce,dwresoyo,,0,,
87,{22F262EA-151A-11D6-BDB5-00104B2A7B96},AL1,1/8/2002,1:00:00 PM,BSEIN,SEIN50,1,No,CLD,,,,10.00,,FALSE,,,,,,GO,GO,kpierce,,,0,,
88,{4F73E0C8-39EF-11D7-B2A8-00105AAA0B77},AL1,2/3/2003,11:00:00 AM,BSEIN,SEIN50,1,No,CLR,,,,11.30,0.28,FALSE,599,,,,,KW,KW,kpierce,,,0,,
89,{CD17A767-4E88-11D7-B2A9-00105AAA0B77},AL1,3/4/2003,11:00:00 AM,BSEIN,SEIN50,2,No,CLR,,,,14.70,0.19,FALSE,853,,,,,KW,KW,creece,,,0,,
90,{8E58F9AE-4073-11D7-B2A8-00105AAA0B77},AL1,3/13/2003,2:55:00 PM,BSEIN,SEIN50,1,No,CLR,,,,11.50,0.2,FALSE,780,,,,,,,kpierce,,,0,,
91,{BB0C0ACC-C777-4FBC-A479-B27449BD049C},AL1,4/2/2003,10:30:00 AM,BSEIN,SEIN50,2,No,CLD,,,,15.30,0.22,FALSE,817,,,,,KW,KW,kpierce,,,0,,
92,{66931777-E535-45D8-8602-1126937D8112},AL1,5/8/2003,2:40:00 PM,BSEIN,SEIN50,1,No,CLD,,,,18.20,,FALSE,395,,,,,KW,KW,kpierce,,,0,,
93,{E4762778-9920-45BE-BD79-25B2A9836FE2},AL1,5/27/2003,12:26:00 PM,BSEIN,SEIN50,2,No,CLR,,,,25.50,0.15,FALSE,708,,,,,JH,JH,kpierce,,,0,,
94,{3A1FC513-D6F5-4D02-9E82-B69A556A5423},AL1,6/18/2003,11:50:00 AM,BSEIN,SEIN50,2,No,CLD,,,,24.10,0.13,FALSE,928,,,,,KW,Kw,kpierce,,,0,,
95,{1E1F70B2-2E45-42C3-B87C-F7E61ADE0494},AL1,1/5/2004,1:29:00 PM,BSEIN,SEIN50,2,No,CLR,,,,6.80,0.128,FALSE,340,,,,,ch,ch,kpierce,,,0,,
96,{8796AB77-B504-4937-9428-714CBE520D96},AL1,1/28/2004,11:20:00 AM,BSEIN,SEIN50,2,No,CLD,,,,,,FALSE,,,,,,ch,ch,kpierce,,,0,,
97,{E79ECE08-C24C-4556-A4AF-554429922B09},AL1,2/24/2004,1:45:00 PM,BSEIN,SEIN50,1,No,CLR,,,,11.10,,FALSE,155,,,,,ch,ch,kpierce,,,0,,
98,{B434EC5F-B66C-4DF6-9F99-C8239718D78E},AL1,3/5/2004,11:40:00 AM,BSEIN,SEIN50,2,No,CLD,,,,10.50,0.2,FALSE,154,,,,,,,kpierce,,,0,,
99,{93688EC7-FA0E-4E90-907F-4D690478A5A4},AL1,4/7/2004,10:35:00 AM,BSEIN,SEIN50,2,No,CLR,,,,17.30,0.19,FALSE,730,,,,,ch,ch,creece,,,0,,
100,{853C9ECA-2D14-400F-A91A-9CB0CF35B784},AL1,4/21/2004,3:20:00 PM,BSEIN,SEIN50,1,No,CLR,,,,17.10,0.2,FALSE,538,,,,,ch,ch,creece,,,0,,
101,{9F267C91-0A13-4CDF-A4C1-092690E3B662},AL1,5/10/2004,10:00:00 AM,BSEIN,SEIN50,1,No,CLD,,,,21.80,0.28,FALSE,964,,,,,,,creece,,,0,,
102,{EC3F2F5B-C1B7-46A2-8594-8DA102371167},AL1,5/20/2004,2:40:00 PM,BSEIN,SEIN50,1,No,CLR,,,,22.60,0.27,FALSE,869,,,,,ch,ch,creece,,,0,,
103,{9A2C8890-5FF2-4A80-8D29-9915141735B9},AL1,6/9/2004,11:15:00 AM,BSEIN,SEIN50,1,No,CLR,,,,22.80,0.17,FALSE,1067,,,,,ch,ch,creece,,,0,,
104,{0FB550B0-3EFF-408D-9C0C-F7E5352A676C},FW1,1/21/1998,9:25:00 AM,PSEIN,PSEIN100,1,No,FOG,,,,10.56,0.09,FALSE,,,,,,,,Imported98Record,,,0,,
105,{B44675CF-FE11-4A34-859C-BB05C50ADE93},FW1,1/21/1998,9:40:00 AM,PSEIN,PSEIN100,1,No,FOG,,,,10.56,0.12,FALSE,,,,,,,,Imported98Record,,,0,,
106,{268F99E2-DAF8-4D0A-984B-395BDF79A0EE},FW1,1/21/1998,10:05:00 AM,PSEIN,PSEIN100,1,No,FOG,,,,10.56,0.1,FALSE,,,,,,,,Imported98Record,,,0,,
107,{2168F275-8C6B-49AE-B5D8-C33C8A4659B4},FW1,2/2/1998,3:00:00 PM,BSEIN,SEIN50,1,No,RAN,,,,11.11,,FALSE,,,,,,,,Imported98Record,,,0,,
108,{600C5F72-8540-4346-AF98-107032A805E2},FW1,2/2/1998,3:20:00 PM,BSEIN,SEIN50,1,No,RAN,,,,11.11,,FALSE,,,,,,,,Imported98Record,,,0,,
109,{EF34E777-ED88-477A-AD21-561DF8FC3DB0},FW1,2/25/1998,12:24:00 PM,BSEIN,SEIN50,1,No,CLD,,,,10.00,,FALSE,,,,,,,,Imported98Record,,,0,,
110,{31ED6EC4-F689-4088-BAF0-558657240EAE},FW1,3/13/1998,10:00:00 AM,BSEIN,SEINENCL,1,No,CLD,,,,15.00,,FALSE,,,,,,,,Imported98Record,,,0,,
111,{0181D415-0EB7-48A5-B6B8-8E9FDAB835F2},FW1,3/13/1998,10:10:00 AM,BSEIN,SEINENCL,1,No,CLD,,,,15.00,,FALSE,,,,,,,,Imported98Record,,,0,,
112,{BEDAAD0F-799A-4FFD-9DE2-971441B6DCCC},FW1,3/13/1998,10:15:00 AM,BSEIN,SEINENCL,1,No,CLD,,,,15.00,,FALSE,,,,,,,,Imported98Record,,,0,,
113,{1B1E785F-ADAC-40A1-A8DC-BF8AE927A449},FW1,3/13/1998,10:37:00 AM,BSEIN,SEINENCL,1,No,CLD,,,,15.00,,FALSE,,,,,,,,Imported98Record,,,0,,
114,{DEA855FF-901B-4034-818E-DAB4FF900BFD},FW1,3/13/1998,10:52:00 AM,BSEIN,SEINENCL,1,No,CLD,,,,15.00,,FALSE,,,,,,,,Imported98Record,,,0,,
115,{9AA85110-470C-42AF-AA78-06A1D6D5694B},FW1,3/13/1998,11:10:00 AM,BSEIN,SEINENCL,1,No,RAN,,,,15.00,,FALSE,,,,,,,,Imported98Record,,,0,,
116,{44D34E58-1E65-451A-9114-D03F1F4986B4},FW1,3/13/1998,11:25:00 AM,BSEIN,SEINENCL,1,No,RAN,,,,15.00,,FALSE,,,,,,,,Imported98Record,,,0,,
117,{9B62460D-2E78-4274-B144-2D966BCE726E},FW1,3/13/1998,12:41:00 PM,BSEIN,SEINENCL,1,No,RAN,,,,12.78,,FALSE,,,,,,,,Imported98Record,,,0,,
118,{2AE689B9-AE63-4F76-A22F-BBF90F900A1E},FW1,3/13/1998,1:15:00 PM,BSEIN,SEINENCL,1,No,CLD,,,,12.78,,FALSE,,,,,,,,Imported98Record,,,0,,
119,{F07AB580-93C9-4CCC-B17F-12878A632A9A},FW1,3/17/1998,10:25:00 AM,BSEIN,SEIN50,2,No,CLD,,,,16.11,,FALSE,,,,,,,,Imported98Record,,,0,,
120,{DE767ADF-7AD1-4DA7-8608-BFAF6ACF6533},FW1,3/17/1998,10:40:00 AM,BSEIN,SEIN50,1,No,CLD,,,,16.11,,FALSE,,,,,,,,Imported98Record,,,0,,
121,{973D7CB2-DAA4-4C07-BB63-CEA8D3299028},FW1,3/17/1998,10:55:00 AM,BSEIN,SEIN50,2,No,CLD,,,,15.00,,FALSE,,,,,,,,Imported98Record,,,0,,
122,{A2D43DFF-5882-4093-B897-5925805E5702},FW1,3/17/1998,11:10:00 AM,BSEIN,SEINCOVE,2,No,CLR,,,,15.56,,FALSE,,,,,,,,Imported98Record,,,0,,
123,{4B5E76CD-E72B-401E-BC0C-DFDDD0956552},FW1,3/17/1998,12:25:00 PM,BSEIN,SEINCOVE,2,No,CLR,,,,,,FALSE,,,,,,,,Imported98Record,,,0,,
124,{271F8556-3FDF-487F-872B-1EA796C03F1A},FW1,3/17/1998,12:35:00 PM,BSEIN,SEINENCL,2,No,CLR,,,,16.11,,FALSE,,,,,,,,Imported98Record,,,0,,
125,{ED8214C5-161E-4CC9-888F-891232772BF8},FW1,3/17/1998,12:40:00 PM,BSEIN,SEINENCL,2,No,CLR,,,,16.11,,FALSE,,,,,,,,Imported98Record,,,0,,
126,{58732FC2-CD37-4A8B-A49F-2A30EEEF3A62},FW1,3/17/1998,12:45:00 PM,BSEIN,SEINENCL,2,No,CLR,,,,16.11,,FALSE,,,,,,,,Imported98Record,,,0,,
127,{0D468807-0FB8-4786-A243-88861AF31641},FW1,3/17/1998,1:05:00 PM,BSEIN,SEIN50,2,No,CLR,,,,16.11,,FALSE,,,,,,,,Imported98Record,,,0,,
