"EventID","SeineLength","SeineWidth","SeineDepth","SeineVolume","TrapStatus","TrapHours","RevCounter","TotalRevs","CommentRevs"
2133,13,21,NA,NA,NA,NA,NA,NA,""
2134,15,9,NA,NA,NA,NA,NA,NA,""
2135,15,12,NA,NA,NA,NA,NA,NA,""
2136,15,9,NA,NA,NA,NA,NA,NA,""
2137,15,9,NA,NA,NA,NA,NA,NA,""
2138,15,15,NA,NA,NA,NA,NA,NA,""
2139,15,15,NA,NA,NA,NA,NA,NA,""
2140,9,15,NA,NA,NA,NA,NA,NA,""
2141,9,15,NA,NA,NA,NA,NA,NA,""
2142,9,15,NA,NA,NA,NA,NA,NA,""
2143,15,9,NA,NA,NA,NA,NA,NA,""
2144,15,15,NA,NA,NA,NA,NA,NA,""
2145,15,15,NA,NA,NA,NA,NA,NA,""
2146,15,9,NA,NA,NA,NA,NA,NA,""
2147,5,8,NA,NA,NA,NA,NA,NA,""
2148,9,8,NA,NA,NA,NA,NA,NA,""
2149,9,8,NA,NA,NA,NA,NA,NA,""
2150,15,15,NA,NA,NA,NA,NA,NA,""
335,15,22,NA,NA,NA,NA,NA,NA,""
336,15,19,NA,NA,NA,NA,NA,NA,""
337,9,9,NA,NA,NA,NA,NA,NA,""
338,NA,NA,NA,NA,NA,NA,NA,NA,""
339,11,15,NA,NA,NA,NA,NA,NA,""
340,15,9,NA,NA,NA,NA,NA,NA,""
341,15,15,NA,NA,NA,NA,NA,NA,""
342,15,8,NA,NA,NA,NA,NA,NA,""
343,15,12,NA,NA,NA,NA,NA,NA,""
344,15,9,NA,NA,NA,NA,NA,NA,""
345,15,9,NA,NA,NA,NA,NA,NA,""
346,15,15,NA,NA,NA,NA,NA,NA,""
347,15,15,NA,NA,NA,NA,NA,NA,""
139,14,9,NA,NA,NA,NA,NA,NA,""
140,15,15,NA,NA,NA,NA,NA,NA,""
141,15,15,NA,NA,NA,NA,NA,NA,""
142,7,3,NA,NA,NA,NA,NA,NA,""
143,7,3,NA,NA,NA,NA,NA,NA,""
2151,15,9,NA,NA,NA,NA,NA,NA,""
2152,15,9,NA,NA,NA,NA,NA,NA,""
2153,15,9,NA,NA,NA,NA,NA,NA,""
2154,15,9,NA,NA,NA,NA,NA,NA,""
2155,15,15,NA,NA,NA,NA,NA,NA,""
1154,NA,NA,NA,NA,NA,NA,NA,NA,""
1155,38,6,NA,NA,NA,NA,NA,NA,""
1156,38,6,NA,NA,NA,NA,NA,NA,""
1157,38,6,NA,NA,NA,NA,NA,NA,""
2156,15,15,NA,NA,NA,NA,NA,NA,""
2157,NA,NA,NA,NA,NA,NA,NA,NA,""
2158,NA,NA,NA,NA,NA,NA,NA,NA,""
2159,NA,NA,NA,NA,NA,NA,NA,NA,""
2160,15,15,NA,NA,NA,NA,NA,NA,""
2161,15,9,NA,NA,NA,NA,NA,NA,""
2162,15,15,NA,NA,NA,NA,NA,NA,""
2163,15,9,NA,NA,NA,NA,NA,NA,""
2164,15,9,NA,NA,NA,NA,NA,NA,""
252,15,15,NA,NA,NA,NA,NA,NA,""
253,15,9,NA,NA,NA,NA,NA,NA,""
254,15,15,NA,NA,NA,NA,NA,NA,""
255,15,15,NA,NA,NA,NA,NA,NA,""
256,15,15,NA,NA,NA,NA,NA,NA,""
257,15,15,NA,NA,NA,NA,NA,NA,""
348,15,15,NA,NA,NA,NA,NA,NA,""
1204,8,15,NA,NA,NA,NA,NA,NA,""
1205,8,15,NA,NA,NA,NA,NA,NA,""
349,12,11,NA,NA,NA,NA,NA,NA,""
144,30,9,NA,NA,NA,NA,NA,NA,""
1206,30,9,NA,NA,NA,NA,NA,NA,""
145,11,4,NA,NA,NA,NA,NA,NA,""
146,4,8,NA,NA,NA,NA,NA,NA,""
1207,15,15,NA,NA,NA,NA,NA,NA,""
1208,15,15,NA,NA,NA,NA,NA,NA,""
2165,15,15,NA,NA,NA,NA,NA,NA,""
2166,15,15,NA,NA,NA,NA,NA,NA,""
1209,15,15,NA,NA,NA,NA,NA,NA,""
2167,15,15,NA,NA,NA,NA,NA,NA,""
1210,15,15,NA,NA,NA,NA,NA,NA,""
1158,10,15,NA,NA,NA,NA,NA,NA,""
1159,15,15,NA,NA,NA,NA,NA,NA,""
1160,38,6,NA,NA,NA,NA,NA,NA,""
2168,15,15,NA,NA,NA,NA,NA,NA,""
2169,15,15,NA,NA,NA,NA,NA,NA,""
2170,15,15,NA,NA,NA,NA,NA,NA,""
2171,15,15,NA,NA,NA,NA,NA,NA,""
147,10,4,NA,NA,NA,NA,NA,NA,""
2172,15,15,NA,NA,NA,NA,NA,NA,""
148,10,10,NA,NA,NA,NA,NA,NA,""
2173,15,15,0.42,94.5,NA,NA,NA,NA,""
149,15,10,0.6,90,NA,NA,NA,NA,""
2174,15,15,0.5,112.5,NA,NA,NA,NA,""
150,15,11,0.6,99.00000763,NA,NA,NA,NA,""
2175,15,15,0.9,202.5,NA,NA,NA,NA,""
151,NA,NA,0.5,NA,NA,NA,NA,NA,""
152,15,15,0.8,180,NA,NA,NA,NA,""
68,6,6,0.6,21.60000038,NA,NA,NA,NA,""
258,15,15,1,225,NA,NA,NA,NA,""
1211,8,9,0.6,43.20000076,NA,NA,NA,NA,""
259,15,15,0.8,180,NA,NA,NA,NA,""
260,10,7,0.9,63,NA,NA,NA,NA,""
1212,15,12,0.7,126,NA,NA,NA,NA,""
261,15,15,1.2,270,NA,NA,NA,NA,""
1213,15,9,1.2,162,NA,NA,NA,NA,""
262,10,7,1.2,84,NA,NA,NA,NA,""
1214,15,9,1.2,162,NA,NA,NA,NA,""
2176,NA,NA,0.9,NA,NA,NA,NA,NA,""
69,15,15,1.2,270,NA,NA,NA,NA,""
153,NA,NA,0.5,NA,NA,NA,NA,NA,""
1215,15,9.8,1.1,161.6999969,NA,NA,NA,NA,""
263,15,12,1.2,216.0000153,NA,NA,NA,NA,""
2177,NA,NA,0.9,NA,NA,NA,NA,NA,""
70,15,12,1.1,198,NA,NA,NA,NA,""
154,10,7,1,70,NA,NA,NA,NA,""
155,10,7,0.4,28,NA,NA,NA,NA,""
71,10,7,1,70,NA,NA,NA,NA,""
1216,15,12,1,180,NA,NA,NA,NA,""
264,15,15,0.95,213.75,NA,NA,NA,NA,""
1217,13,15,1,195,NA,NA,NA,NA,""
2178,15,11,1.1,181.5,NA,NA,NA,NA,""
2179,10,7,1.1,77,NA,NA,NA,NA,""
265,15,15,0.9,202.5,NA,NA,NA,NA,""
72,15,11,0.9,148.5,NA,NA,NA,NA,""
156,15,15,0.8,180,NA,NA,NA,NA,""
1218,15,13,1.1,214.5,NA,NA,NA,NA,""
266,15,13,1.1,214.5,NA,NA,NA,NA,""
157,15,15,0.5,112.5,NA,NA,NA,NA,""
73,10,7,1,70,NA,NA,NA,NA,""
158,15,15,0.3,67.5,NA,NA,NA,NA,""
74,6.7,8,0.6,32.15999985,NA,NA,NA,NA,""
267,15,15,1.1,247.5,NA,NA,NA,NA,""
1219,15,13,0.9,175.5,NA,NA,NA,NA,""
268,15,15,0.4,90,NA,NA,NA,NA,""
159,15,15,0.8,180,NA,NA,NA,NA,""
160,NA,NA,0.4,NA,NA,NA,NA,NA,""
161,20,9,0.4,72,NA,NA,NA,NA,""
162,26.5,9,0.2,47.70000076,NA,NA,NA,NA,""
163,27,9,0.04,9.719999313,NA,NA,NA,NA,""
164,27,9,0.4,97.20000458,NA,NA,NA,NA,""
165,31,9,0.4,111.5999985,NA,NA,NA,NA,""
166,30,9,0.4,108,NA,NA,NA,NA,""
2012,NA,NA,0.3,NA,NA,NA,NA,NA,""
2013,10,7,NA,NA,NA,NA,NA,NA,""
2014,12,15,0.6,108.0000076,NA,NA,NA,NA,""
2015,15,15,1.2,270,NA,NA,NA,NA,""
2016,13,15,1.1,214.5,NA,NA,NA,NA,""
2017,8.5,20,1.2,204.0000153,NA,NA,NA,NA,""
2180,15,15,0.6,135,NA,NA,NA,NA,""
2181,30,15,0.3,135,NA,NA,NA,NA,""
2182,15,15,NA,NA,NA,NA,NA,NA,""
2183,15,15,0.8,180,NA,NA,NA,NA,""
2184,15,15,1.1,247.5,NA,NA,NA,NA,""
2185,15,15,1.2,270,NA,NA,NA,NA,""
2186,15,15,1.1,247.5,NA,NA,NA,NA,""
2187,15,15,1.1,247.5,NA,NA,NA,NA,""
2188,15,15,0.4,90,NA,NA,NA,NA,""
167,15,15,1.1,247.5,NA,NA,NA,NA,""
350,15,15,0.5,112.5,NA,NA,NA,NA,""
351,15,15,0.5,112.5,NA,NA,NA,NA,""
352,15,15,0.5,112.5,NA,NA,NA,NA,""
2189,15,15,0.7,157.5,NA,NA,NA,NA,""
2190,15,11.6,1.1,191.4000092,NA,NA,NA,NA,""
75,15,8,0.3,36,NA,NA,NA,NA,""
76,15,15,NA,NA,NA,NA,NA,NA,""
77,36,4,0.2,28.80000114,NA,NA,NA,NA,""
2191,15,15,0.1,22.5,NA,NA,NA,NA,""
2192,15,15,0.1,22.5,NA,NA,NA,NA,""
2193,15,15,0.4,90,NA,NA,NA,NA,""
2194,30.5,30.5,0.5,465.125,NA,NA,NA,NA,""
2018,30,6,0.7,126,NA,NA,NA,NA,""
2019,30,6,0.6,108.0000076,NA,NA,NA,NA,""
2020,30,6,0.7,126,NA,NA,NA,NA,""
1220,5.5,15,1.1,90.75,NA,NA,NA,NA,""
1221,10,7,1.2,84,NA,NA,NA,NA,""
168,15,15,0.5,112.5,NA,NA,NA,NA,""
2195,15,15,1.1,247.5,NA,NA,NA,NA,""
1222,7,10,0.7,49,NA,NA,NA,NA,""
1223,5,2,0.7,7,NA,NA,NA,NA,""
169,15,15,1,225,NA,NA,NA,NA,""
2196,15,15,1.1,247.5,NA,NA,NA,NA,""
170,5,5,1.1,27.5,NA,NA,NA,NA,""
171,5,5,1,25,NA,NA,NA,NA,""
1224,10,5,1.1,55,NA,NA,NA,NA,""
2197,15,15,1.1,247.5,NA,NA,NA,NA,""
1225,7,15,1.2,126.0000076,NA,NA,NA,NA,""
172,15,15,0.8,180,NA,NA,NA,NA,""
2198,15,15,1,225,NA,NA,NA,NA,""
1226,10,10,1.2,120.0000076,NA,NA,NA,NA,""
173,15,12,1,180,NA,NA,NA,NA,""
174,11,15,1.1,181.5,NA,NA,NA,NA,""
1227,15,10,1.1,165,NA,NA,NA,NA,""
2199,15,15,0.7,157.5,NA,NA,NA,NA,""
1228,8,3,1,24,NA,NA,NA,NA,""
2200,15,15,0.9,202.5,NA,NA,NA,NA,""
175,7,15,1.2,126.0000076,NA,NA,NA,NA,""
1229,11,6,1,66,NA,NA,NA,NA,""
2201,15,15,1.1,247.5,NA,NA,NA,NA,""
176,15,8,0.9,108,NA,NA,NA,NA,""
2202,15,15,1.2,270,NA,NA,NA,NA,""
177,15,7,0.9,94.5,NA,NA,NA,NA,""
178,4,11,0.5,22,NA,NA,NA,NA,""
78,12,12,0.7,100.7999954,NA,NA,NA,NA,""
2203,6,3,0.4,7.200000286,NA,NA,NA,NA,""
2204,NA,NA,NA,NA,NA,NA,NA,NA,""
1230,15,11,1,165,NA,NA,NA,NA,""
269,15,13,1.2,234.0000153,NA,NA,NA,NA,""
2205,10,6,0.5,30,NA,NA,NA,NA,""
270,15,10,1.1,165,NA,NA,NA,NA,""
79,9,4,1.1,39.60000229,NA,NA,NA,NA,""
1231,15,4,1,60,NA,NA,NA,NA,""
179,15,10,0.5,75,NA,NA,NA,NA,""
2206,NA,NA,0.9,NA,NA,NA,NA,NA,""
1232,15,11,1,165,NA,NA,NA,NA,""
271,15,12,1.2,216.0000153,NA,NA,NA,NA,""
2207,5,6,1.1,33,NA,NA,NA,NA,""
80,14,11,1.2,184.8000031,NA,NA,NA,NA,""
180,6,7,0.9,37.79999924,NA,NA,NA,NA,""
1233,15,13,1.2,234.0000153,NA,NA,NA,NA,""
272,15,13,1.1,214.5,NA,NA,NA,NA,""
2208,10,10,0.7,70,NA,NA,NA,NA,""
81,15,11,1.2,198.0000153,NA,NA,NA,NA,""
181,9,7,1,63,NA,NA,NA,NA,""
1234,11,15,1,165,NA,NA,NA,NA,""
273,9,15,0.8,108,NA,NA,NA,NA,""
2209,15,11,0.7,115.5,NA,NA,NA,NA,""
2210,15,15,0.8,180,NA,NA,NA,NA,""
182,8,15,0.5,60,NA,NA,NA,NA,""
82,3,3,1,9,NA,NA,NA,NA,""
83,3,3,1,9,NA,NA,NA,NA,""
183,25,5,0.3,37.5,NA,NA,NA,NA,""
184,25,5,0.3,37.5,NA,NA,NA,NA,""
185,33,5,0.3,49.50000381,NA,NA,NA,NA,""
186,10,4,0.9,36,NA,NA,NA,NA,""
187,8,4,NA,NA,NA,NA,NA,NA,""
188,13,4,0.6,31.20000076,NA,NA,NA,NA,""
189,17,13,0.6,132.6000061,NA,NA,NA,NA,""
190,15,6,0.7,63,NA,NA,NA,NA,""
191,15,5,0.5,37.5,NA,NA,NA,NA,""
2211,9,5,0.2,9,NA,NA,NA,NA,""
2212,15,55,0.2,165,NA,NA,NA,NA,""
2213,15,3,1,45,NA,NA,NA,NA,""
2214,15,7,1,105,NA,NA,NA,NA,""
2215,15,7,1,105,NA,NA,NA,NA,""
2216,15,15,0.6,135,NA,NA,NA,NA,""
2217,15,15,0.5,112.5,NA,NA,NA,NA,""
2218,15,15,0.3,67.5,NA,NA,NA,NA,""
2219,15,15,0.4,90,NA,NA,NA,NA,""
84,15,15,0.7,157.5,NA,NA,NA,NA,""
85,15,15,0.6,135,NA,NA,NA,NA,""
86,9,14,0.4,50.40000153,NA,NA,NA,NA,""
2220,15,15,1,225,NA,NA,NA,NA,""
2221,15,15,0.9,202.5,NA,NA,NA,NA,""
2222,15,15,1.1,247.5,NA,NA,NA,NA,""
427,15,15,0.6,135,NA,NA,NA,NA,""
428,15,15,0.4,90,NA,NA,NA,NA,""
429,15,15,0.4,90,NA,NA,NA,NA,""
431,15,15,0.4,90,NA,NA,NA,NA,""
2223,30,30,1,900,NA,NA,NA,NA,""
2224,15,15,1,225,NA,NA,NA,NA,""
2225,15,15,1,225,NA,NA,NA,NA,""
192,15,12,0.6,108.0000076,NA,NA,NA,NA,""
2226,15,15,0.8,180,NA,NA,NA,NA,""
1235,15,2.5,0.9,33.75,NA,NA,NA,NA,""
2227,15,15,0.6,135,NA,NA,NA,NA,""
1236,15,5,1.2,90,NA,NA,NA,NA,""
193,15,13,1,195,NA,NA,NA,NA,""
1237,6,15,1.1,99,NA,NA,NA,NA,""
2228,15,15,0.9,202.5,NA,NA,NA,NA,""
194,15,15,1,225,NA,NA,NA,NA,""
1238,6,15,1,90,NA,NA,NA,NA,""
2229,15,15,0.3,67.5,NA,NA,NA,NA,""
195,15,15,1.1,247.5,NA,NA,NA,NA,""
1239,5,15,0.4,30,NA,NA,NA,NA,""
2230,15,15,0.8,180,NA,NA,NA,NA,""
196,15,15,0.5,112.5,NA,NA,NA,NA,""
1240,20,4,0.7,56,NA,NA,NA,NA,""
2231,15,15,1,225,NA,NA,NA,NA,""
197,15,4,1,60,NA,NA,NA,NA,""
1241,15,4,0.8,48,NA,NA,NA,NA,""
2232,15,7,1,105,NA,NA,NA,NA,""
198,15,10,1,150,NA,NA,NA,NA,""
1242,15,5,0.8,60,NA,NA,NA,NA,""
2233,15,15,1.1,247.5,NA,NA,NA,NA,""
199,15,11,1.1,181.5,NA,NA,NA,NA,""
1243,23,4,1,92,NA,NA,NA,NA,""
2234,15,15,1,225,NA,NA,NA,NA,""
200,15,9,0.8,108,NA,NA,NA,NA,""
1244,15,5,0.7,52.5,NA,NA,NA,NA,""
2235,15,15,1.1,247.5,NA,NA,NA,NA,""
201,15,2,1,30,NA,NA,NA,NA,""
547,14,4,0.6,33.60000229,NA,NA,NA,NA,""
2236,15,4,1.1,66,NA,NA,NA,NA,""
202,50,30,0.8,1200,NA,NA,NA,NA,""
1245,15,6,0.9,81,NA,NA,NA,NA,""
2237,15.2,15.2,1.1,254.1439972,NA,NA,NA,NA,""
203,15,15,0.5,112.5,NA,NA,NA,NA,""
274,15,3,0.5,22.5,NA,NA,NA,NA,""
2238,15,15,1,225,NA,NA,NA,NA,""
204,15,15,0.6,135,NA,NA,NA,NA,""
1246,6,12.19,0.5,36.56999969,NA,NA,NA,NA,""
2239,15,15,0.5,112.5,NA,NA,NA,NA,""
205,19,15,0.4,114,NA,NA,NA,NA,""
1247,10.8,2,1.1,23.76000023,NA,NA,NA,NA,""
2240,15,15,0.5,112.5,NA,NA,NA,NA,""
206,15,3,0.7,31.5,NA,NA,NA,NA,""
207,15,5,0.8,60,NA,NA,NA,NA,""
2241,15,15,1,225,NA,NA,NA,NA,""
1248,15,3,0.9,40.5,NA,NA,NA,NA,""
1249,10,4,1.1,44,NA,NA,NA,NA,""
2242,15,15,0.9,202.5,NA,NA,NA,NA,""
208,15,8,0.6,72,NA,NA,NA,NA,""
1250,15,6,0.8,72,NA,NA,NA,NA,""
2243,15,15,0.6,135,NA,NA,NA,NA,""
209,15,7,0.9,94.5,NA,NA,NA,NA,""
1251,15,3,0.7,31.5,NA,NA,NA,NA,""
2244,15,15,0.8,180,NA,NA,NA,NA,""
210,5,15,0.6,45,NA,NA,NA,NA,""
211,15,7,0.8,84,NA,NA,NA,NA,""
2245,15,15,0.8,180,NA,NA,NA,NA,""
1252,15,7,0.8,84,NA,NA,NA,NA,""
1253,15,3.6,0.9,48.59999847,NA,NA,NA,NA,""
2246,15,15,0.5,112.5,NA,NA,NA,NA,""
212,15,5.4,0.8,64.80000305,NA,NA,NA,NA,""
1254,15,10,0.6,90,NA,NA,NA,NA,""
275,15,15,0.8,180,NA,NA,NA,NA,""
213,15,10,0.8,120,NA,NA,NA,NA,""
87,6,8,0.7,33.59999847,NA,NA,NA,NA,""
2247,15,10,0.7,105,NA,NA,NA,NA,""
214,15,15,0.5,112.5,NA,NA,NA,NA,""
1255,14,2,1,28,NA,NA,NA,NA,""
276,7,1,0.7,4.900000095,NA,NA,NA,NA,""
2248,15,15,1,225,NA,NA,NA,NA,""
1256,18,5,0.5,45,NA,NA,NA,NA,""
2249,15,15,1,225,NA,NA,NA,NA,""
215,15,15,0.6,135,NA,NA,NA,NA,""
216,15,15,0.3,67.5,NA,NA,NA,NA,""
217,15,5,0.7,52.5,NA,NA,NA,NA,""
2250,15,15,0.6,135,NA,NA,NA,NA,""
1257,15,5,0.9,67.5,NA,NA,NA,NA,""
1258,15,6,0.8,72,NA,NA,NA,NA,""
2251,15,15,0.4,90,NA,NA,NA,NA,""
218,15,4,0.8,48,NA,NA,NA,NA,""
1259,12,2.5,1,30,NA,NA,NA,NA,""
2252,15,15,0.5,112.5,NA,NA,NA,NA,""
219,15,3.5,0.9,47.25,NA,NA,NA,NA,""
1260,15,5.5,0.5,41.25,NA,NA,NA,NA,""
2253,15,15,0.5,112.5,NA,NA,NA,NA,""
220,15,3.5,0.7,36.75,NA,NA,NA,NA,""
1261,15,6.3,0.4,37.79999924,NA,NA,NA,NA,""
2254,15,15,0.4,90,NA,NA,NA,NA,""
221,15,4.2,0.7,44.09999847,NA,NA,NA,NA,""
1774,15,8,0.8,96,NA,NA,NA,NA,""
2255,15,15,0.9,202.5,NA,NA,NA,NA,""
222,5,3,0.7,10.5,NA,NA,NA,NA,""
1262,3,5,0.5,7.5,NA,NA,NA,NA,""
2256,15,15,0.4,90,NA,NA,NA,NA,""
223,5,12,0.8,48,NA,NA,NA,NA,""
1263,15,5,0.05,3.75,NA,NA,NA,NA,""
2257,15,7,0.6,63.00000381,NA,NA,NA,NA,""
224,3.5,5,0.8,14,NA,NA,NA,NA,""
1264,10,2,0.9,18,NA,NA,NA,NA,""
225,8,4,0.8,25.60000038,NA,NA,NA,NA,""
2258,13,7,0.7,63.70000076,NA,NA,NA,NA,""
226,12,5,0.07,4.199999809,NA,NA,NA,NA,""
1265,10,1.5,1,15,NA,NA,NA,NA,""
227,12,5,0.7,42,NA,NA,NA,NA,""
1266,13,2,0.3,7.800000191,NA,NA,NA,NA,""
277,13,7,0.7,63.70000076,NA,NA,NA,NA,""
1267,15,3,0.4,18,NA,NA,NA,NA,""
228,8,3,0.3,7.200000286,NA,NA,NA,NA,""
