"SalmGeneticRowID","FishGenID","GeneticID","Probability1","GeneticID2","Probability2","Comments_Salmon","Comments_SalmonDataUsage","RunID"
59,"2016Ad_plus-F_016","Fall",0.9968,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
60,"2016Ad_plus-F_017","Fall",0.999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
61,"2016Ad_plus-F_018","Fall",0.9956,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
62,"2016Ad_plus-F_019","Fall",0.9863,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
63,"2016Ad_plus-F_020","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
64,"2016Ad_plus-F_021","Fall",0.9981,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
65,"2016Ad_plus-F_037","Fall",0.9733,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
66,"2016Ad_plus-F_038","Fall",0.9392,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
67,"2016Ad_plus-F_039","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
68,"2016Ad_plus-F_040","Fall",0.9973,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
69,"2016Ad_plus-F_041","Fall",0.9998,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
70,"2016Ad_plus-F_042","Fall",0.9941,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
71,"2016Ad_plus-F_043","Fall",0.9387,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
72,"2016Ad_plus-F_044","Fall",0.9962,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
73,"2016Ad_plus-F_045","Fall",0.9972,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
74,"2016Ad_plus-F_046","Fall",0.9996,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
75,"2016Ad_plus-F_047","Fall",0.9831,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
76,"2016Ad_plus-F_048","Fall",0.9915,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
77,"2016Ad_plus-F_049","Fall",0.8198,"LateFall",0.1802,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
78,"2016Ad_plus-F_050","Fall",0.816,"LateFall",0.1832,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
79,"2016Ad_plus-F_051","Fall",0.9667,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
80,"2016Ad_plus-F_052","Fall",0.9941,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
81,"2016Ad_plus-F_053","Fall",0.9995,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
82,"2016Ad_plus-F_054","Fall",0.9527,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
83,"2016Ad_plus-F_055","Fall",0.9951,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
84,"2016Ad_plus-F_056","Fall",0.9114,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
85,"2016Ad_plus-F_057","Fall",0.996,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
86,"2016Ad_plus-F_058","Fall",0.9993,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
87,"2016Ad_plus-F_059","Fall",0.98,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
88,"2016Ad_plus-F_060","Fall",0.9992,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
89,"2016Ad_plus-F_061","Fall",0.9845,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
90,"2016Ad_plus-F_062","Fall",0.9743,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
91,"2016Ad_plus-F_063","Fall",0.8077,"LateFall",0.1923,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
92,"2016Ad_plus-F_064","Fall",0.9188,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
93,"2016Ad_plus-F_065","Fall",0.9964,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
94,"2016Ad_plus-F_066","Fall",0.9955,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
95,"2016Ad_plus-F_067","Fall",0.9551,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
96,"2016Ad_plus-F_068","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
97,"2016Ad_plus-F_069","Fall",0.9993,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
98,"2016Ad_plus-F_070","Fall",0.9504,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
99,"2016Ad_plus-F_071","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
100,"2016Ad_plus-F_072","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
101,"2016Ad_plus-F_073","Fall",0.9902,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
102,"2016Ad_plus-F_074","Fall",0.677,"LateFall",0.2966,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
103,"2016Ad_plus-F_075","Fall",0.8381,"LateFall",0.1618,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
104,"2016Ad_plus-F_076","Fall",0.9777,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
105,"2016Ad_plus-F_077","Spring",0.9665,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
106,"2016Ad_plus-F_078","Fall",0.9966,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
107,"2016Ad_plus-F_079","Fall",0.9921,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
108,"2016Ad_plus-F_080","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
109,"2016Ad_plus-F_081","Fall",0.9966,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
110,"2016Ad_plus-F_082","Fall",0.971,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
111,"2016Ad_plus-F_083","Fall",0.9838,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
112,"2016Ad_plus-F_084","Fall",0.9932,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
113,"2016Ad_plus-F_085","Fall",0.5382,"LateFall",0.4618,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
114,"2016Ad_plus-F_086","Fall",0.8992,"LateFall",0.0991,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
115,"2016Ad_plus-F_087","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
116,"2016Ad_plus-F_088","Fall",0.9571,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
117,"2016Ad_plus-F_089","Fall",0.9997,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
118,"2016Ad_plus-F_090","Fall",0.9972,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
119,"2016Ad_plus-F_091","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
120,"2016Ad_plus-F_092","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
121,"2016Ad_plus-F_093","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
122,"2016Ad_plus-F_094","Fall",0.9995,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
123,"2016Ad_plus-F_095","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
124,"2016Ad_plus-F_096","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
125,"2016Ad_plus-F_097","Fall",0.9368,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
126,"2016Ad_plus-F_098","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
127,"2016Ad_plus-F_099","Fall",0.9385,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
128,"2016Ad_plus-F_100","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
129,"2016Ad_plus-F_101","Fall",0.9925,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
130,"2016Ad_plus-F_102","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
131,"2016Ad_plus-F_103","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
132,"2016Ad_plus-F_104","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
133,"2016Ad_plus-F_105","Fall",0.9993,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
134,"2016Ad_plus-F_106","Fall",0.9977,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
135,"2016Ad_plus-F_107","Fall",0.8812,"LateFall",0.1188,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
136,"2016Ad_plus-F_108","LateFall",0.9039,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
137,"2016Ad_plus-F_109","Fall",0.9987,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
138,"2016Ad_plus-F_110","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
139,"2016Ad_plus-F_111","Fall",0.9885,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
140,"2016Ad_plus-F_112","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
141,"2016Ad_plus-F_113","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
142,"2016Ad_plus-F_114","Fall",0.8229,"LateFall",0.177,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
143,"2016Ad_plus-F_115","Fall",0.7808,"LateFall",0.2192,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
144,"2016Ad_plus-F_116","Fall",0.7334,"Spring",0.2585,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
145,"2016Ad_plus-F_117","Fall",0.9863,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
146,"2016Ad_plus-F_118","Fall",0.9992,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
147,"2016Ad_plus-F_119","Fall",0.8869,"LateFall",0.1131,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
148,"2016Ad_plus-F_120","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
149,"2016Ad_plus-F_121","Fall",0.9818,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
150,"2016Ad_plus-F_122","Fall",0.9992,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
151,"2016Ad_plus-F_123","Fall",0.9986,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
152,"2016Ad_plus-F_124","Fall",0.9374,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
153,"2016Ad_plus-F_125","Fall",0.9987,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
154,"2016Ad_plus-F_126","Fall",0.9861,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
155,"2016Ad_plus-F_127","Fall",0.9959,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
156,"2016Ad_plus-F_128","Fall",0.9998,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
157,"2016Ad_plus-F_129","Fall",0.997,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
158,"2016Ad_plus-F_130","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
159,"2016Ad_plus-F_131","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
160,"2016Ad_plus-F_132","Fall",0.9304,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
161,"2016Ad_plus-F_133","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
162,"2016Ad_plus-F_134","LateFall",0.9631,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
163,"2016Ad_plus-F_135","Fall",0.9992,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
164,"2016Ad_plus-F_136","Fall",0.9594,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
165,"2016Ad_plus-F_137","Fall",0.9967,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
166,"2016Ad_plus-F_138","Fall",0.9995,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
167,"2016Ad_plus-F_139","Fall",0.9982,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
168,"2016Ad_plus-F_140","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
169,"2016Ad_plus-F_143","Fall",0.9995,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
170,"2016Ad_plus-F_144","Fall",0.9906,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
171,"2016Ad_plus-F_145","Fall",1,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
172,"2016Ad_plus-F_146","Fall",0.9991,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
173,"2016Ad_plus-F_147","Fall",0.9999,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
174,"2016Ad_plus-F_148","Fall",0.9767,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
175,"2016Ad_plus-F_149","Fall",0.9481,"n/p",0,"","Please contact Mariah Meek (mhmeek@msu.edu) if you wish to share or publish any salmonid genetics data",NA
